INDEX,Document,Topic,Name,Top_n_words,Probability,Representative_document
0,a soberania;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,1.0,False
1,a cidadania;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.17555736890000384,False
2,a dignidade da pessoa humana;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.16964672214311888,False
3,os valores sociais do trabalho e da livre iniciativa;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.42798934956355694,False
4,o pluralismo político.,43,43_partidos_partidario_partidos politicos_fundo partidario,partidos - partidario - partidos politicos - fundo partidario - politico - politicos - fundo - partido - filiacao - partidaria,0.4066803847406836,False
5,"A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado democrático de direito e tem como fundamentos:",6,6_brasileira_federativa brasil_republica federativa_brasil,brasileira - federativa brasil - republica federativa - brasil - brasileiros - brasileiro - federativa - capital - empresa - pais,0.7060762164854184,False
6,"Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição .",1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.14944370498008427,False
7,"São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.6792128923620823,False
8,"construir uma sociedade livre, justa e solidária;",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.896047519253423,False
9,garantir o desenvolvimento nacional;,52,52_desenvolvimento_planos_planos nacionais_nacionais regionais,desenvolvimento - planos - planos nacionais - nacionais regionais - regionais - nacionais - execucao politicas - desenvolvimento nacional - setoriais desenvolvimento - economico,1.0,False
10,erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.4997387973318195,False
11,"promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.",-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.4174205852932463,False
12,Constituem objetivos fundamentais da República Federativa do Brasil:,6,6_brasileira_federativa brasil_republica federativa_brasil,brasileira - federativa brasil - republica federativa - brasil - brasileiros - brasileiro - federativa - capital - empresa - pais,1.0,True
13,independência nacional;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.3376463022370323,False
14,prevalência dos direitos humanos;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,0.5025358164494472,False
15,autodeterminação dos povos;,1,1_direito_direitos_publicos_pessoa,direito - direitos - publicos - pessoa - assegurado - protecao - radiodifusao - politicos - permissao - concessao permissao,1.0,False
16,não-intervenção;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8906648591325089,False
17,igualdade entre os Estados;,21,21_estados_distrito federal_distrito_estados distrito,estados - distrito federal - distrito - estados distrito - municipios - federal municipios - federal - uniao - territorios - uniao estados,1.0,False
18,defesa da paz;,49,49_guerra_paz_estrangeiras_celebrar paz,guerra - paz - estrangeiras - celebrar paz - estrangeiras transitem - permanecam temporariamente - transitem territorio - nacional nele - permanecam - transitem,1.0,False
19,solução pacífica dos conflitos;,49,49_guerra_paz_estrangeiras_celebrar paz,guerra - paz - estrangeiras - celebrar paz - estrangeiras transitem - permanecam temporariamente - transitem territorio - nacional nele - permanecam - transitem,1.0,False
20,repúdio ao terrorismo e ao racismo;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8076814849777794,False
21,cooperação entre os povos para o progresso da humanidade;,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.8905607782029599,False
22,concessão de asilo político.,-1,-1_lei_federal_estado_uniao,lei - federal - estado - uniao - art - distrito federal - distrito - qualquer - estados - publico,0.6806978971218042,False
23,A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:,6,6_brasileira_federativa brasil_republica federativa_brasil,brasileira - federativa brasil - republica federativa - brasil - brasileiros - brasileiro - federativa - capital - empresa - pais,0.7394018831971344,False
24,"A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.",6,6_brasileira_federativa brasil_republica federativa_brasil,brasileira - federativa brasil - republica federativa - brasil - brasileiros - brasileiro - federativa - capital - empresa - pais,1.0,False
