a soberania;$20$ polícia ferroviária rodoviária anistia
a cidadania;$-1$lei federal nacional sobre
a dignidade da pessoa humana;$31$políticos direitos rádio televisão
os valores sociais do trabalho e da livre iniciativa;$-1$lei federal nacional sobre
o pluralismo político.$6$cultura culturais tecnologia apoiará
A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado democrático de direito e tem como fundamentos:$-1$lei federal nacional sobre
Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição .$-1$lei federal nacional sobre
São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.$-1$lei federal nacional sobre
construir uma sociedade livre, justa e solidária;$28$deficiência integração portadoras portador
garantir o desenvolvimento nacional;$-1$lei federal nacional sobre
erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;$-1$lei federal nacional sobre
promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.$-1$lei federal nacional sobre
Constituem objetivos fundamentais da República Federativa do Brasil:$0$ organização ministério administrativa seguintes
independência nacional;$20$ polícia ferroviária rodoviária anistia
prevalência dos direitos humanos;$31$políticos direitos rádio televisão
autodeterminação dos povos;$20$ polícia ferroviária rodoviária anistia
não-intervenção;$20$ polícia ferroviária rodoviária anistia
igualdade entre os Estados;$-1$lei federal nacional sobre
defesa da paz;$-1$lei federal nacional sobre
solução pacífica dos conflitos;$-1$lei federal nacional sobre
repúdio ao terrorismo e ao racismo;$9$prisão ninguém julgado sentença
cooperação entre os povos para o progresso da humanidade;$-1$lei federal nacional sobre
concessão de asilo político.$20$ polícia ferroviária rodoviária anistia
A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:$0$ organização ministério administrativa seguintes
A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.$-1$lei federal nacional sobre
homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição ;$-1$lei federal nacional sobre
ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;$9$prisão ninguém julgado sentença
ninguém será submetido a tortura nem a tratamento desumano ou degradante;$9$prisão ninguém julgado sentença
é livre a manifestação do pensamento, sendo vedado o anonimato;$-1$lei federal nacional sobre
é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;$42$dano danos indenização culpa
é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;$-1$lei federal nacional sobre
é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;$-1$lei federal nacional sobre
ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;$9$prisão ninguém julgado sentença
é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;$-1$lei federal nacional sobre
são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;$42$dano danos indenização culpa
a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;$-1$lei federal nacional sobre
é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;$-1$lei federal nacional sobre
é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;$0$ organização ministério administrativa seguintes
é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;$-1$lei federal nacional sobre
é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;$-1$lei federal nacional sobre
todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;$-1$lei federal nacional sobre
é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;$-1$lei federal nacional sobre
a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;$-1$lei federal nacional sobre
as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;$-1$lei federal nacional sobre
ninguém poderá ser compelido a associar-se ou a permanecer associado;$-1$lei federal nacional sobre
as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;$21$reclamações contra receber auxiliares
é garantido o direito de propriedade;$-1$lei federal nacional sobre
a propriedade atenderá a sua função social;$0$ organização ministério administrativa seguintes
a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em dinheiro, ressalvados os casos previstos nesta Constituição ;$-1$lei federal nacional sobre
no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;$42$dano danos indenização culpa
a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;$36$sobre renda bens qualquer
aos autores pertence o direito exclusivo de utilização, publicação ou reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;$-1$lei federal nacional sobre
a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas;$31$políticos direitos rádio televisão
o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e associativas;$-1$lei federal nacional sobre
são assegurados, nos termos da lei:$7$lei nesta casos previstos
a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País;$-1$lei federal nacional sobre
é garantido o direito de herança;$-1$lei federal nacional sobre
a sucessão de bens de estrangeiros situados no País será regulada pela lei brasileira em benefício do cônjuge ou dos filhos brasileiros, sempre que não lhes seja mais favorável a lei pessoal do de cujus;$-1$lei federal nacional sobre
o Estado promoverá, na forma da lei, a defesa do consumidor;$7$lei nesta casos previstos
